PropertyID,Location,NumBedrooms,NumBathrooms,SquareFeet,LotSize,YearBuilt,PropertyType,HasPool,HasGarage,NumFloors,NumRooms,OverallCondition,View,YearLastRemodeled,DistanceToSchool,DistanceToHospital,DistanceToWork,DistanceToPark,Price
1,Suburban,4,3,2500,8000,1990,SingleFamily,Yes,Yes,2,8,7,Garden,2015,0.5,2.3,5.7,0.2,450000
2,CityCenter,2,1,1200,3000,1950,Condo,No,No,1,4,6,City,2005,0.2,0.8,1.2,0.1,250000
3,Rural,3,2,1800,10000,1975,SingleFamily,No,Yes,1,5,5,Mountain,2010,3.0,10.5,20.0,1.5,350000
4,Suburban,5,4,3500,12000,2005,SingleFamily,Yes,Yes,2,10,9,Waterfront,2020,1.2,3.0,7.5,0.5,680000
5,CityCenter,1,1,800,1000,1920,Condo,No,No,1,3,4,City,1998,0.1,0.5,0.8,0.2,180000
6,Suburban,3,2,1800,6000,1985,SingleFamily,Yes,Yes,2,7,6,Garden,2018,0.4,1.5,3.8,0.3,320000
7,CityCenter,2,1,1300,2500,1940,Condo,No,Yes,1,5,5,City,2000,0.3,1.0,1.5,0.2,220000
8,Rural,4,3,2600,9000,1995,SingleFamily,Yes,Yes,1,8,7,Mountain,2016,2.5,9.0,18.0,2.0,410000
9,Suburban,5,4,3600,11000,2008,SingleFamily,Yes,Yes,2,9,8,Waterfront,2022,1.0,2.8,7.0,0.6,720000
10,CityCenter,1,1,900,800,1935,Condo,No,No,1,3,4,City,2005,0.2,0.6,0.9,0.1,170000
11,Suburban,4,3,2200,7500,1978,SingleFamily,Yes,Yes,2,7,6,Garden,2015,0.6,1.9,4.2,0.4,290000
12,CityCenter,2,2,1400,2200,1925,Condo,No,No,1,5,5,City,2008,0.1,0.4,0.7,0.2,210000
13,Rural,3,2,2000,8500,1980,SingleFamily,No,Yes,1,6,5,Mountain,2012,2.0,8.5,15.0,1.2,340000
14,Suburban,5,4,3400,10500,2007,SingleFamily,Yes,Yes,2,8,8,Waterfront,2021,1.1,2.5,6.5,0.5,680000
15,CityCenter,1,1,950,900,1945,Condo,No,No,1,4,4,City,2004,0.3,0.7,1.0,0.1,180000
16,Suburban,4,3,2000,7000,1987,SingleFamily,Yes,Yes,2,7,6,Garden,2019,0.5,1.8,4.0,0.3,310000
17,CityCenter,2,1,1200,2100,1930,Condo,No,Yes,1,5,5,City,2003,0.2,0.5,0.8,0.2,230000
18,Rural,3,2,1900,8000,1982,SingleFamily,No,Yes,1,6,5,Mountain,2014,2.2,9.2,17.5,1.3,360000
